_c0,metro,price,way,views,provider,fee_percent,storey,minutes,storeys,living_area,kitchen_area,total_area
874, Preobrazhenskaia ploshchad ,40000,walk,60,realtor                 ,30,3,17,9,20,8,35
875, Rasskazovka ,30000,walk,2728,owner                 ,0,12,10,17,22,8,33
876, Planernaia ,45000,walk,513,realtor                    ,50,7,10,12,19,8,38
877, VDNKh ,50000,walk,389,realtor                    ,50,16,10,16,18,8,41
878, Alekseevskaia ,50000,walk,483,realtor                    ,50,5,3,12,19,5,33
879, Sviblovo ,38000,walk,414,realtor                    ,50,3,15,5,37,37,37
880, Rimskaia ,55999,walk,360,realtor                    ,99,6,7,17,21,10,40
881, Perovo ,29000,walk,5174,realtor                    ,40,2,15,5,17,7,31
882, Nekrasovka ,40000,walk,69,realtor                    ,40,10,5,17,18,11,41
883, Planernaia ,39000,walk,795,realtor                    ,50,8,10,9,18,7,33
884, Planernaia ,35000,walk,687,realtor                    ,50,6,15,9,17,6,34
885, Riazanskii prospekt ,40000,walk,437,realtor                    ,50,9,5,12,20,10,35
886, VDNKh ,40000,transport,344,realtor                    ,50,10,5,16,19,10,35
887, Medvedkovo ,32000,walk,445,realtor                    ,50,1,15,12,19,7,38
888, Medvedkovo ,35000,walk,214,realtor                    ,50,9,10,14,18,10,39
889, Khovrino ,38000,walk,224,realtor                    ,50,6,7,9,17,6,33
890, Okskaia ,59999,walk,103,realtor                    ,99,3,7,33,17,5,26
891, Vystavochnaia ,185000,walk,28,owner                 ,0,4,4,11,14,24,53
892, Otradnoe ,38000,walk,283,owner                 ,0,7,5,12,19,10,39
893, Kuntcevskaia ,45000,walk,40,owner                 ,0,6,15,9,19,7,33
894, Shabolovskaia ,20000,walk,73,realtor                 ,50,5,10,8,20,10,40
895, Dobryninskaia ,22000,walk,56,realtor                 ,50,10,5,14,22,11,42
896, Paveletckaia ,20000,walk,38,realtor                 ,50,7,6,10,22,11,42
897, Altufevo ,37000,walk,21,realtor                 ,30,7,10,12,21,8,38
898, Tcaritcyno ,45000,transport,30,owner                 ,0,5,5,15,25,14,52
899, Shchelkovskaia ,47000,walk,25,realtor                 ,50,4,12,14,21,10,38
900, Skhodnenskaia ,28000,walk,66,realtor                 ,50,4,14,9,10,7,37
901, Solntcevo ,25000,walk,189,realtor                 ,0,6,5,23,20,10,36
902, Ulitca Starokachalovskaia ,25000,walk,173,realtor                 ,0,5,5,17,20,10,38
903, Zhulebino ,25000,walk,102,realtor                 ,0,5,5,12,20,10,35
904, Preobrazhenskaia ploshchad ,40000,walk,60,realtor                 ,30,3,17,9,20,8,35
905, Rasskazovka ,30000,walk,2728,owner                 ,0,12,10,17,22,8,33
906, Planernaia ,45000,walk,513,realtor                    ,50,7,10,12,19,8,38
907, VDNKh ,50000,walk,389,realtor                    ,50,16,10,16,18,8,41
908, Alekseevskaia ,50000,walk,483,realtor                    ,50,5,3,12,19,5,33
